setID	setSize	setScore	N	setP	setQ	setName	setID.orig
101	139	72.0727534475851	139	1e-04	0.105075293347846	Adrenergic signaling in cardiomyocytes	66
777	64	45.1243789952505	64	5e-04	0.140896416080066	Collagen biosynthesis and modifying enzymes	306
526	37	27.8687976446837	37	9e-04	0.140896416080066	Regulation of RAC1 activity	1356
1102	21	31.8811023491136	21	0.0012	0.140896416080066	Initial triggering of complement	797
685	519	133.546099029775	519	0.0013	0.140896416080066	Axon guidance (REACTOME)	162
778	44	34.6365993940081	44	0.0016	0.140896416080066	Collagen chain trimerization	307
924	282	94.667941292473	282	0.0016	0.140896416080066	Extracellular matrix organization	516
412	138	56.4074412608416	138	0.002	0.140896416080066	Wnt signaling pathway	1860
796	65	52.7017094822296	65	0.0021	0.140896416080066	Costimulation by the CD28 family	333
220	15	18.2843251644207	15	0.0022	0.140896416080066	Glycosphingolipid biosynthesis - ganglio series	669
174	80	43.7067704252641	80	0.0024	0.140896416080066	ECM-receptor interaction	458
1362	103	59.1291064886136	103	0.0025	0.140896416080066	Phase 1 - Functionalization of compounds	1173
780	87	47.4936709249081	87	0.0026	0.140896416080066	Collagen formation	309
338	155	60.472850544088	155	0.0027	0.140896416080066	Protein processing in endoplasmic reticulum	1272
677	57	36.4789377152578	57	0.0027	0.140896416080066	Assembly of collagen fibrils and other multimeric structures	137
877	26	22.2215783982381	26	0.0027	0.140896416080066	Downregulation of TGF-beta receptor signaling	435
1702	16	16.1053914548656	16	0.0029	0.140896416080066	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	1691
1372	20	34.2515256903505	20	0.0031	0.140896416080066	Phosphorylation of CD3 and TCR zeta chains	1187
1778	17	34.5705287942351	17	0.0031	0.140896416080066	Translocation of ZAP-70 to Immunological synapse	1773
336	84	43.4651417401168	84	0.0032	0.140896416080066	Protein digestion and absorption	1268
1359	178	75.6954977688028	178	0.0034	0.140896416080066	Peptide ligand-binding receptors	1166
358	85	54.859361914579	85	0.0035	0.140896416080066	Rheumatoid arthritis	1401
169	86	43.8751763733778	86	0.0036	0.140896416080066	Dilated cardiomyopathy	404
1434	34	25.0047703295573	34	0.0037	0.140896416080066	RHO GTPases Activate WASPs and WAVEs	1412
1183	99	54.7993465410173	99	0.0039	0.140896416080066	MHC class II antigen presentation	957
1324	21	33.4175002606825	21	0.0039	0.140896416080066	PD-1 signaling	1156
694	16	16.9232940496249	16	0.004	0.140896416080066	Beta-catenin phosphorylation cascade	178
387	102	59.8976975252728	102	0.0041	0.140896416080066	Th17 cell differentiation	1694
635	17	17.1705058152036	17	0.0042	0.140896416080066	Activation of SMO	41
178	244	75.0460227606388	244	0.0044	0.140896416080066	Endocytosis	470
1015	28	32.4959547342894	28	0.0045	0.140896416080066	Generation of second messenger molecules	627
107	34	47.3226469172835	34	0.0047	0.140896416080066	Allograft rejection	78
124	27	38.826117678939	27	0.0047	0.140896416080066	Asthma	142
399	41	50.5820268161788	41	0.0048	0.140896416080066	Type I diabetes mellitus	1807
1701	32	23.6756704597421	32	0.005	0.140896416080066	TGF-beta receptor signaling activates SMADs	1690
195	190	63.0676055350718	190	0.0051	0.140896416080066	Focal adhesion	559
373	53	48.7664972621254	53	0.0052	0.140896416080066	Staphylococcus aureus infection	1605
226	37	43.9354418386508	37	0.0053	0.140896416080066	Graft-versus-host disease	684
410	54	43.5149726309521	54	0.0053	0.140896416080066	Viral myocarditis	1846
146	130	59.8775752987594	130	0.0055	0.140896416080066	Cell adhesion molecules (CAMs)	241
275	271	84.1003716741543	271	0.0055	0.140896416080066	MicroRNAs in cancer	959
1029	119	49.9164542660519	119	0.0057	0.140896416080066	Glycerophospholipid biosynthesis	652
122	68	36.1847695609038	68	0.0058	0.140896416080066	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	134
