setID	setName	setSource	setID.orig	setSizeOrg	setID.new
1	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	BIOCYC	1	14	1
2	3-phosphoinositide biosynthesis	BIOCYC	3	27	2
3	3-phosphoinositide degradation	BIOCYC	4	17	3
4	CDP-diacylglycerol biosynthesis	BIOCYC	239	16	4
5	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	BIOCYC	358	14	5
6	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	BIOCYC	359	23	6
7	D-myo-inositol (1,4,5)-trisphosphate degradation	BIOCYC	360	12	7
8	D-myo-inositol-5-phosphate metabolism	BIOCYC	361	15	8
9	NAD de novo biosynthesis	BIOCYC	1020	11	9
10	TCA cycle	BIOCYC	1677	15	10
11	UTP and CTP de novo biosynthesis	BIOCYC	1823	10	11
12	adenosine deoxyribonucleotides de novo biosynthesis	BIOCYC	56	10	12
13	bile acid biosynthesis, neutral pathway	BIOCYC	184	12	13
14	cholesterol biosynthesis I	BIOCYC	271	11	14
15	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	BIOCYC	272	11	14
16	cholesterol biosynthesis III (via desmosterol)	BIOCYC	273	11	14
17	chondroitin sulfate biosynthesis	BIOCYC	276	15	17
18	dermatan sulfate biosynthesis	BIOCYC	397	12	18
19	fatty acid beta-oxidation	BIOCYC	523	13	19
20	fatty acid beta-oxidation (peroxisome)	BIOCYC	524	13	20
21	gamma-linolenate biosynthesis	BIOCYC	615	11	21
22	gluconeogenesis	BIOCYC	637	13	22
23	glutathione-mediated detoxification	BIOCYC	650	16	23
24	glycolysis	BIOCYC	657	13	24
25	guanosine deoxyribonucleotides de novo biosynthesis	BIOCYC	691	10	12
26	guanosine nucleotides de novo biosynthesis	BIOCYC	692	14	26
27	guanosine ribonucleotides de novo biosynthesis	BIOCYC	693	11	27
28	heparan sulfate biosynthesis	BIOCYC	710	24	28
29	heparan sulfate biosynthesis (late stages)	BIOCYC	711	18	29
30	isoleucine degradation	BIOCYC	853	11	30
31	leucine degradation	BIOCYC	875	12	31
32	melatonin degradation I	BIOCYC	924	10	32
33	mevalonate pathway	BIOCYC	956	10	141
34	mucin core 1 and core 2 O-glycosylation	BIOCYC	1001	25	34
35	phospholipases	BIOCYC	1185	29	35
36	protein ubiquitylation	BIOCYC	1274	27	36
37	purine deoxyribonucleosides salvage	BIOCYC	1280	11	37
38	purine nucleotides de novo biosynthesis	BIOCYC	1283	27	38
39	purine nucleotides degradation	BIOCYC	1284	10	39
40	pyrimidine deoxyribonucleotide phosphorylation	BIOCYC	1288	10	40
41	pyrimidine deoxyribonucleotides biosynthesis from CTP	BIOCYC	1289	14	41
42	pyrimidine deoxyribonucleotides de novo biosynthesis	BIOCYC	1290	14	42
43	reactive oxygen species degradation	BIOCYC	1310	10	43
44	retinol biosynthesis	BIOCYC	1394	17	44
45	stearate biosynthesis	BIOCYC	1607	11	45
46	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	BIOCYC	1623	19	46
47	superpathway of cholesterol biosynthesis	BIOCYC	1621	23	47
48	superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle	BIOCYC	1622	32	48
49	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	BIOCYC	1624	12	49
50	superpathway of inositol phosphate compounds	BIOCYC	1625	63	50
51	superpathway of melatonin degradation	BIOCYC	1626	10	32
52	superpathway of methionine degradation	BIOCYC	1627	13	52
53	superpathway of purine nucleotide salvage	BIOCYC	1628	27	53
54	superpathway of pyrimidine deoxyribonucleoside salvage	BIOCYC	1629	15	54
55	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	BIOCYC	1630	19	55
56	superpathway of pyrimidine ribonucleotides de novo biosynthesis	BIOCYC	1631	12	56
57	superpathway of steroid hormone biosynthesis	BIOCYC	1632	11	57
58	superpathway of tryptophan utilization	BIOCYC	1633	30	58
59	the visual cycle I (vertebrates)	BIOCYC	1701	15	59
60	triacylglycerol biosynthesis	BIOCYC	1788	16	60
61	triacylglycerol degradation	BIOCYC	1790	10	61
62	valine degradation	BIOCYC	1828	12	62
63	Adenovirus (dsDNA)	Enard_Viral	57	78	63
64	Chinkungunya Virus (ssRNA)	Enard_Viral	268	13	64
65	Dengue Fever Virus (ssRNA)	Enard_Viral	392	35	65
66	Ebola Virus (ssRNA)	Enard_Viral	456	16	66
67	Enterovirus 71 (ssRNA)	Enard_Viral	479	17	67
68	Epstein-Barr Virus (dsDNA)	Enard_Viral	492	149	68
69	Hepatitis B virus (dsDNA)	Enard_Viral	714	16	69
70	Hepatitis B virus (dsDNART)	Enard_Viral	715	95	70
71	Hepatitis C Virus (dsDNA)	Enard_Viral	717	18	71
72	Hepatitis C Virus (ssRNA)	Enard_Viral	718	161	72
73	Herpes Simplex Virus (dsDNA)	Enard_Viral	720	112	73
74	Human Cytomegalovirus (dsDNA)	Enard_Viral	750	52	74
75	Human Immunodeficiency Virus type 1 (dsDNA)	Enard_Viral	751	33	75
76	Human Immunodeficiency Virus type 1 (ssRNA)	Enard_Viral	752	19	76
77	Human Immunodeficiency Virus type 1 (ssRNART)	Enard_Viral	753	317	77
78	Human T-lymphotropic virus (dsDNA)	Enard_Viral	755	13	78
79	Human T-lymphotropic virus (ssRNART)	Enard_Viral	756	61	79
80	Human papillomavirus (dsDNA)	Enard_Viral	754	183	80
81	Influenza virus (ssRNA)	Enard_Viral	792	105	81
82	JC Virus (dsDNA)	Enard_Viral	855	11	82
83	Kaposi's Sarcoma-associated Virus (dsDNA)	Enard_Viral	859	79	83
84	Murine Gammaherpesvirus (dsDNA)	Enard_Viral	1003	14	84
85	Murine Leukemia Virus (ssRNART)	Enard_Viral	1004	14	85
86	Polyomavirus (dsDNA)	Enard_Viral	1228	10	86
87	SARS Coronavirus (ssRNA)	Enard_Viral	1473	19	87
88	Simian Virus 40 (dsDNA)	Enard_Viral	1581	25	88
89	Sindbis Virus (ssRNA)	Enard_Viral	1582	10	89
90	Vaccinia Virus (dsDNA)	Enard_Viral	1824	51	90
91	Varicella Zoster Virus (dsDNA)	Enard_Viral	1830	11	91
92	2-Oxocarboxylic acid metabolism	KEGG	2	16	92
93	ABC transporters	KEGG	9	42	93
94	AGE-RAGE signaling pathway in diabetic complications	KEGG	70	93	94
95	AMPK signaling pathway	KEGG	94	117	95
96	Acute myeloid leukemia	KEGG	47	52	96
97	Acylglycerol degradation	KEGG	53	11	97
98	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	KEGG	55	20	98
99	Adherens junction	KEGG	60	66	99
100	Adipocytokine signaling pathway	KEGG	62	66	100
101	Adrenergic signaling in cardiomyocytes	KEGG	66	139	101
102	African trypanosomiasis	KEGG	69	34	102
103	Alanine, aspartate and glutamate metabolism	KEGG	72	34	103
104	Alcoholism	KEGG	73	170	104
105	Aldosterone synthesis and secretion	KEGG	74	81	105
106	Aldosterone-regulated sodium reabsorption	KEGG	75	36	106
107	Allograft rejection	KEGG	78	34	107
108	Alzheimer's disease	KEGG	83	147	108
109	Amino sugar and nucleotide sugar metabolism	KEGG	90	47	109
110	Aminoacyl-tRNA biosynthesis	KEGG	91	43	110
111	Amoebiasis	KEGG	92	91	111
112	Amphetamine addiction	KEGG	93	65	112
113	Amyotrophic lateral sclerosis (ALS)	KEGG	96	50	113
114	Antifolate resistance	KEGG	100	28	114
115	Antigen processing and presentation	KEGG	103	68	115
116	Apelin signaling pathway	KEGG	116	135	116
117	Apoptosis (KEGG)	KEGG	118	132	117
118	Apoptosis - multiple species	KEGG	117	31	118
119	Arachidonic acid metabolism (KEGG)	KEGG	125	61	119
120	Arginine and proline metabolism	KEGG	131	43	120
121	Arginine biosynthesis	KEGG	132	18	121
122	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG	134	68	122
123	Ascorbate and aldarate metabolism	KEGG	135	26	123
124	Asthma	KEGG	142	27	124
125	Autoimmune thyroid disease	KEGG	156	49	125
126	Autophagy - animal	KEGG	157	119	126
127	Autophagy - other	KEGG	158	28	127
128	Axon guidance (KEGG)	KEGG	161	166	128
129	B cell receptor signaling pathway	KEGG	163	68	129
130	Bacterial invasion of epithelial cells	KEGG	165	74	130
131	Basal cell carcinoma	KEGG	167	55	131
132	Basal transcription factors	KEGG	168	41	132
133	Base excision repair	KEGG	169	32	133
134	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	KEGG	183	12	134
135	Bile secretion	KEGG	185	70	135
136	Biosynthesis of amino acids	KEGG	188	65	136
137	Biosynthesis of unsaturated fatty acids	KEGG	190	19	137
138	Bladder cancer	KEGG	192	39	138
139	Breast cancer	KEGG	196	141	139
140	Butanoate metabolism	KEGG	198	27	140
141	C5 isoprenoid biosynthesis, mevalonate pathway	KEGG	204	10	141
142	Calcium signaling pathway	KEGG	210	172	142
143	Carbohydrate digestion and absorption	KEGG	218	42	143
144	Carbon metabolism	KEGG	219	103	144
145	Cardiac muscle contraction	KEGG	221	69	145
146	Cell adhesion molecules (CAMs)	KEGG	241	130	146
147	Cell cycle	KEGG	242	121	147
148	Central carbon metabolism in cancer	KEGG	257	61	148
149	Ceramide biosynthesis	KEGG	259	12	149
150	Chagas disease (American trypanosomiasis)	KEGG	263	99	150
151	Chemical carcinogenesis	KEGG	265	78	151
152	Chemokine signaling pathway	KEGG	267	176	152
153	Choline metabolism in cancer	KEGG	274	93	153
154	Cholinergic synapse	KEGG	275	111	154
155	Chronic myeloid leukemia	KEGG	282	69	155
156	Circadian entrainment	KEGG	286	93	156
157	Circadian rhythm	KEGG	287	30	157
158	Citrate cycle (TCA cycle)	KEGG	290	28	158
159	Citrate cycle (TCA cycle, Krebs cycle)	KEGG	289	21	159
160	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG	291	14	160
161	Cocaine addiction	KEGG	305	47	161
162	Collecting duct acid secretion	KEGG	310	27	162
163	Colorectal cancer	KEGG	311	59	163
164	Complement and coagulation cascades	KEGG	313	76	164
165	Cysteine and methionine metabolism	KEGG	349	43	165
166	Cytokine-cytokine receptor interaction	KEGG	352	258	166
167	Cytosolic DNA-sensing pathway	KEGG	353	61	167
168	DNA replication	KEGG	425	34	168
169	Dilated cardiomyopathy	KEGG	404	86	169
170	Dopaminergic synapse	KEGG	430	126	170
171	Dorso-ventral axis formation	KEGG	431	28	171
172	Drug metabolism - cytochrome P450	KEGG	444	66	172
173	Drug metabolism - other enzymes	KEGG	445	45	173
174	ECM-receptor interaction	KEGG	458	80	174
175	EGFR tyrosine kinase inhibitor resistance	KEGG	463	78	175
176	Endocrine and other factor-regulated calcium reabsorption	KEGG	468	46	176
177	Endocrine resistance	KEGG	469	94	177
178	Endocytosis	KEGG	470	244	178
179	Endometrial cancer	KEGG	472	48	179
180	Epithelial cell signaling in Helicobacter pylori infection	KEGG	490	64	180
181	Epstein-Barr virus infection	KEGG	493	191	181
182	ErbB signaling pathway	KEGG	498	81	182
183	Estrogen signaling pathway	KEGG	508	98	183
184	Ether lipid metabolism	KEGG	510	41	184
185	Fanconi anemia pathway	KEGG	519	47	185
186	Fat digestion and absorption	KEGG	522	38	186
187	Fatty acid biosynthesis	KEGG	525	12	187
188	Fatty acid degradation	KEGG	526	42	188
189	Fatty acid elongation	KEGG	527	21	189
190	Fatty acid metabolism	KEGG	528	43	190
191	Fc epsilon RI signaling pathway	KEGG	534	66	191
192	Fc gamma R-mediated phagocytosis	KEGG	535	86	192
193	Ferroptosis	KEGG	542	37	193
194	Fluid shear stress and atherosclerosis	KEGG	558	138	194
195	Focal adhesion	KEGG	559	190	195
196	Folate biosynthesis	KEGG	560	13	196
197	FoxO signaling pathway	KEGG	580	127	197
198	Fructose and mannose metabolism	KEGG	586	30	198
199	GABAergic synapse	KEGG	611	81	199
200	Galactose metabolism	KEGG	612	29	200
201	Gap junction	KEGG	616	85	201
202	Gastric acid secretion	KEGG	623	74	202
203	Glioma	KEGG	630	63	203
204	Glucagon signaling pathway	KEGG	633	95	204
205	Gluconeogenesis, oxaloacetate => fructose-6P	KEGG	639	15	205
206	Glucuronate pathway (uronate pathway)	KEGG	642	27	206
207	Glutamatergic synapse	KEGG	646	110	207
208	Glutathione metabolism	KEGG	648	51	208
209	Glycerolipid metabolism	KEGG	651	50	209
210	Glycerophospholipid metabolism	KEGG	653	86	210
211	Glycine, serine and threonine metabolism	KEGG	654	35	211
212	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	KEGG	659	23	212
213	Glycolysis / Gluconeogenesis	KEGG	660	63	213
214	Glycolysis, core module involving three-carbon compounds	KEGG	661	10	214
215	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	KEGG	663	19	215
216	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG	664	23	216
217	Glycosaminoglycan biosynthesis - keratan sulfate	KEGG	665	14	217
218	Glycosaminoglycan biosynthesis, heparan sulfate backbone	KEGG	666	10	218
219	Glycosaminoglycan degradation	KEGG	667	18	219
220	Glycosphingolipid biosynthesis - ganglio series	KEGG	669	15	220
221	Glycosphingolipid biosynthesis - globo and isoglobo series	KEGG	670	14	221
222	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	671	26	222
223	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	KEGG	673	24	223
224	Glyoxylate and dicarboxylate metabolism	KEGG	674	28	224
225	GnRH signaling pathway	KEGG	677	90	225
226	Graft-versus-host disease	KEGG	684	37	226
227	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	KEGG	690	13	227
228	HIF-1 signaling pathway	KEGG	724	94	228
229	HTLV-I infection	KEGG	749	247	229
230	Hedgehog signaling pathway	KEGG	706	44	230
231	Hematopoietic cell lineage	KEGG	707	90	231
232	Hepatitis B	KEGG	713	139	232
233	Hepatitis C	KEGG	716	127	233
234	Herpes simplex infection	KEGG	719	171	234
235	Hippo signaling pathway	KEGG	728	150	235
236	Hippo signaling pathway -multiple species	KEGG	729	28	236
237	Histidine metabolism	KEGG	730	21	237
238	Homologous recombination	KEGG	739	35	238
239	Huntington's disease	KEGG	757	168	239
240	Hypertrophic cardiomyopathy (HCM)	KEGG	760	80	240
241	IL-17 signaling pathway	KEGG	766	90	241
242	Inflammatory bowel disease (IBD)	KEGG	786	61	242
243	Inflammatory mediator regulation of TRP channels	KEGG	787	96	243
244	Influenza A	KEGG	788	162	244
245	Inositol phosphate metabolism (KEGG)	KEGG	801	67	245
246	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	KEGG	803	22	246
247	Insulin resistance	KEGG	808	102	247
248	Insulin secretion	KEGG	809	82	248
249	Insulin signaling pathway	KEGG	810	132	249
250	Intestinal immune network for IgA production	KEGG	834	43	250
251	Jak-STAT signaling pathway	KEGG	854	148	251
252	Legionellosis	KEGG	873	53	252
253	Leishmaniasis	KEGG	874	68	253
254	Leucine degradation, leucine => acetoacetate + acetyl-CoA	KEGG	876	13	254
255	Leukocyte transendothelial migration	KEGG	877	107	255
256	Linoleic acid metabolism	KEGG	882	29	256
257	Long-term depression	KEGG	888	56	257
258	Long-term potentiation	KEGG	889	64	258
259	Longevity regulating pathway	KEGG	890	87	259
260	Longevity regulating pathway - multiple species	KEGG	891	61	260
261	Lysine degradation	KEGG	897	51	261
262	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	KEGG	898	11	262
263	Lysosome	KEGG	899	118	263
264	MAPK signaling pathway	KEGG	911	244	264
265	Malaria	KEGG	905	44	265
266	Mannose type O-glycan biosynthesis	KEGG	906	19	266
267	Maturity onset diabetes of the young	KEGG	917	26	267
268	Measles	KEGG	918	125	268
269	Melanogenesis	KEGG	922	101	269
270	Melanoma	KEGG	923	66	270
272	Metabolism of xenobiotics by cytochrome P450	KEGG	949	72	272
273	Methionine degradation	KEGG	953	10	273
274	Methionine salvage pathway	KEGG	954	11	274
275	MicroRNAs in cancer	KEGG	959	271	275
276	Mineral absorption	KEGG	960	47	276
277	Mismatch repair	KEGG	963	22	277
278	Mitophagy - animal	KEGG	977	60	278
279	Morphine addiction	KEGG	987	85	279
280	Mucin type O-glycan biosynthesis	KEGG	1002	29	280
281	N-Glycan biosynthesis	KEGG	1015	47	281
282	N-glycan biosynthesis, complex type	KEGG	1016	15	282
283	N-glycan precursor biosynthesis	KEGG	1017	13	283
284	NF-kappa B signaling pathway	KEGG	1052	85	284
285	NOD-like receptor signaling pathway	KEGG	1063	161	285
286	Natural killer cell mediated cytotoxicity	KEGG	1021	122	286
287	Neuroactive ligand-receptor interaction	KEGG	1043	256	287
288	Neurotrophin signaling pathway	KEGG	1050	114	288
289	Nicotinate and nicotinamide metabolism	KEGG	1057	28	289
290	Nicotine addiction	KEGG	1059	35	290
291	Nitrogen metabolism	KEGG	1062	15	291
292	Non-alcoholic fatty liver disease (NAFLD)	KEGG	1065	140	292
293	Non-homologous end-joining	KEGG	1066	12	293
294	Non-small cell lung cancer	KEGG	1068	57	294
295	Notch signaling pathway (KEGG)	KEGG	1077	48	295
296	Nucleotide excision repair	KEGG	1095	43	296
297	O-glycan biosynthesis, mucin type core	KEGG	1099	25	297
298	Olfactory transduction	KEGG	1105	406	298
299	One carbon pool by folate	KEGG	1108	19	299
300	Oocyte meiosis	KEGG	1109	113	300
301	Osteoclast differentiation	KEGG	1116	123	301
302	Other glycan degradation	KEGG	1118	18	302
303	Other types of O-glycan biosynthesis	KEGG	1120	20	303
304	Ovarian steroidogenesis	KEGG	1121	49	304
305	Oxidative phosphorylation	KEGG	1123	100	305
306	Oxytocin signaling pathway	KEGG	1126	148	306
307	PI3K-Akt signaling pathway	KEGG	1200	330	307
308	PPAR signaling pathway	KEGG	1238	70	308
309	Pancreatic cancer	KEGG	1142	61	309
310	Pancreatic secretion	KEGG	1143	93	310
311	Pantothenate and CoA biosynthesis	KEGG	1144	18	311
312	Parkinson's disease	KEGG	1146	109	312
313	Pathogenic Escherichia coli infection	KEGG	1148	54	313
314	Pathways in cancer	KEGG	1149	381	314
315	Pentose and glucuronate interconversions	KEGG	1160	34	315
316	Pentose phosphate pathway	KEGG	1161	25	316
317	Pentose phosphate pathway (Pentose phosphate cycle)	KEGG	1162	10	317
318	Peroxisome	KEGG	1169	80	318
319	Pertussis	KEGG	1170	74	319
320	Phagosome	KEGG	1171	145	320
321	Phenylalanine metabolism	KEGG	1178	15	321
322	Phosphatidylinositol signaling system	KEGG	1179	90	322
323	Phospholipase D signaling pathway	KEGG	1184	138	323
324	Phototransduction	KEGG	1190	27	324
325	Platelet activation	KEGG	1213	120	325
326	Platinum drug resistance	KEGG	1221	71	326
327	Porphyrin and chlorophyll metabolism	KEGG	1229	39	327
328	Primary bile acid biosynthesis	KEGG	1249	17	328
