setID	setSize	setScore	N	setP	setQ	setName	setID.orig
1062	596	48.0035721527581	596	0	0	Hemostasis	709
1278	328	51.3009565545772	328	0	0	Neuronal System	1045
339	197	46.0886996454528	197	1e-04	0.0199337160289028	Proteoglycans in cancer	1276
477	26	20.9969477990453	26	1e-04	0.0199337160289028	Glypican 1 network	676
560	31	21.8994422350682	31	1e-04	0.0199337160289028	Syndecan-4-mediated signaling events	1641
1318	18	17.1879190090797	18	1e-04	0.0199337160289028	Other semaphorin interactions	1119
169	86	29.5001707296322	86	2e-04	0.0299005740433542	Dilated cardiomyopathy	404
1416	33	22.1479438173427	33	2e-04	0.0299005740433542	Purine metabolism (REACTOME)	1282
685	519	14.8932527528357	519	3e-04	0.0326188080472955	Axon guidance (REACTOME)	162
1378	263	38.9026279064906	263	3e-04	0.0326188080472955	Platelet activation, signaling and aggregation	1214
1628	108	31.0292460834126	108	3e-04	0.0326188080472955	Signaling by NOTCH	1541
240	80	31.5432284142593	80	4e-04	0.0341720846209763	Hypertrophic cardiomyopathy (HCM)	760
293	12	12.6055169575157	12	4e-04	0.0341720846209763	Non-homologous end-joining	1066
778	44	26.3578419815074	44	4e-04	0.0341720846209763	Collagen chain trimerization	307
101	139	35.4454428371206	139	5e-04	0.0398674320578057	Adrenergic signaling in cardiomyocytes	66
128	166	33.6066673531855	166	6e-04	0.0422125751200295	Axon guidance (KEGG)	161
425	46	22.8609592311259	46	6e-04	0.0422125751200295	Angiopoietin receptor Tie2-mediated signaling	99
558	30	18.6059197279361	30	7e-04	0.0440640038533642	Syndecan-2-mediated signaling events	1639
1780	201	33.0689988899886	201	7e-04	0.0440640038533642	Transmission across Chemical Synapses	1775
390	112	26.7909357429493	112	9e-04	0.0538210332780376	Thyroid hormone signaling pathway	1707
1587	64	23.142632443014	64	0.001	0.0569534743682938	Semaphorin interactions	1485
424	30	18.06837564387	30	0.0011	0.0598011480867085	Alpha-synuclein signaling	82
1257	54	22.2927685334119	54	0.0012	0.0624011980035219	NRAGE signals death through JNK	1084
1417	12	12.0948972116637	12	0.0013	0.0647845770939342	Purine ribonucleoside monophosphate biosynthesis	1285
303	20	13.8850185882267	20	0.0015	0.0717613777040502	Other types of O-glycan biosynthesis	1120
566	42	18.791640616877	42	0.0018	0.0824843421885634	Thromboxane A2 receptor signaling	1704
174	80	23.8555683319819	80	0.0019	0.0824843421885634	ECM-receptor interaction	458
514	54	20.5801541334077	54	0.002	0.0824843421885634	PDGFR-beta signaling pathway	1158
1787	100	25.1753095420537	100	0.002	0.0824843421885634	Transport of inorganic cations/anions and amino acids/oligopeptides	1777
399	41	27.2199338647687	41	0.0021	0.0837216073213919	Type I diabetes mellitus	1807
202	74	22.104600738133	74	0.0023	0.0887371874835029	Gastric acid secretion	623
576	27	15.122103816216	27	0.0024	0.089006359943008	Wnt signaling network	1859
526	37	16.9308353771721	37	0.0026	0.089006359943008	Regulation of RAC1 activity	1356
924	282	24.6750697610451	282	0.0028	0.089006359943008	Extracellular matrix organization	516
1655	451	2.71498774295843	451	0.0029	0.089006359943008	Signalling by NGF	1577
1791	37	19.8436111352177	37	0.0029	0.089006359943008	Transport of vitamins, nucleosides, and related molecules	1786
131	55	20.4438514682718	55	0.003	0.089006359943008	Basal cell carcinoma	167
527	42	17.7699300560056	42	0.003	0.089006359943008	Regulation of RhoA activity	1359
85	14	11.3495290458586	14	0.0031	0.089006359943008	Murine Leukemia Virus (ssRNART)	1004
1660	13	11.0614571733897	13	0.0031	0.089006359943008	Sodium/Calcium exchangers	1592
314	381	11.6293638915041	381	0.0032	0.089006359943008	Pathways in cancer	1149
523	29	15.0297703097302	29	0.0032	0.089006359943008	Reelin signaling pathway	1318
1275	10	9.63038516169539	10	0.0032	0.089006359943008	Netrin mediated repulsion signals	1041
43	10	9.33514214037172	10	0.0033	0.0897017221300627	reactive oxygen species degradation	1310
336	84	23.8177519563894	84	0.0039	0.102857974709139	Protein digestion and absorption	1268
726	22	12.8903870369938	22	0.004	0.102857974709139	CTLA4 inhibitory signaling	341
111	91	22.0509853455618	91	0.0042	0.102857974709139	Amoebiasis	92
146	130	26.2023491854974	130	0.0043	0.102857974709139	Cell adhesion molecules (CAMs)	241
308	70	20.9858448420546	70	0.0043	0.102857974709139	PPAR signaling pathway	1238
490	51	18.9276027644524	51	0.0043	0.102857974709139	IL2-mediated signaling events	773
1178	20	13.7242646108256	20	0.0044	0.10318629473785	MET activates PTK2 signaling	927
269	101	20.3339463632402	101	0.0045	0.103501987073149	Melanogenesis	922
1415	10	8.98852468047961	10	0.0046	0.103805766490136	Purine catabolism	1279
248	82	20.1741578599632	82	0.0048	0.104380185751346	Insulin secretion	809
745	69	19.4112475215487	69	0.0048	0.104380185751346	Cell death signalling via NRAGE, NRIF and NADE	246
195	190	18.4878816389242	190	0.0049	0.10465200915174	Focal adhesion	559
677	57	20.7562126565268	57	0.0051	0.105167536290418	Assembly of collagen fibrils and other multimeric structures	137
811	349	4.16154401701074	361	0.0051	0.105167536290418	DAP12 interactions*	363
1363	26	16.3032945599581	26	0.0053	0.107439350799849	Phase 2 - plateau phase	1174
1039	108	19.7624607406678	108	0.0054	0.107642066556075	Golgi-to-ER retrograde transport	680
243	96	20.0401824767321	96	0.006	0.117641602793525	Inflammatory mediator regulation of TRP channels	787
391	72	18.0134778787521	72	0.0067	0.129247642639015	Thyroid hormone synthesis	1708
503	30	13.7801316560776	30	0.007	0.130815011439675	Lissencephaly gene (LIS1) in neuronal migration and development	885
1568	272	11.8609495691952	272	0.007	0.130815011439675	SLC-mediated transmembrane transport	1586
39	10	8.24526067495925	10	0.0074	0.136162614105121	purine nucleotides degradation	1284
464	26	12.3109623123552	26	0.0081	0.14678463621283	Ephrin B reverse signaling	487
870	351	0.405916671045876	351	0.0085	0.149069528563969	Diseases of signal transduction	415
578	48	16.2148993643168	48	0.0086	0.149069528563969	amb2 Integrin signaling	84
1563	22	11.762190381993	22	0.0086	0.149069528563969	SHC1 events in ERBB2 signaling	1497
381	84	18.5375523063795	84	0.0088	0.150357172332296	TGF-beta signaling pathway	1692
276	47	19.7225532315409	47	0.009	0.15116401321918	Mineral absorption	960
1376	13	9.18043580584867	13	0.0091	0.15116401321918	Platelet Adhesion to exposed collagen	1215
1481	16	10.6518313758056	16	0.0094	0.151690717097992	Recycling of bile acids and salts	1315
906	26	12.0531404885574	26	0.0095	0.151690717097992	Effects of PIP2 hydrolysis	459
1548	129	16.4953271582035	135	0.0097	0.151690717097992	Role of LAT2/NTAL/LAB on calcium mobilization*	1454
190	43	14.3858651758637	43	0.0102	0.151690717097992	Fatty acid metabolism	528
242	61	21.1329679290063	61	0.0102	0.151690717097992	Inflammatory bowel disease (IBD)	786
1251	370	-4.16347316894751	370	0.0102	0.151690717097992	NGF signalling via TRKA from the plasma membrane	1055
1361	45	17.5961517260421	45	0.0102	0.151690717097992	Phase 0 - rapid depolarisation	1172
1627	20	11.1050107317513	20	0.0103	0.151690717097992	Signaling by NODAL	1540
191	66	17.4786289833777	66	0.0104	0.151690717097992	Fc epsilon RI signaling pathway	534
999	50	15.514884865177	50	0.0104	0.151690717097992	GPVI-mediated activation cascade	683
1260	18	11.8387597366114	18	0.0107	0.153774380794393	Na+/Cl- dependent neurotransmitter transporters	1019
972	83	15.7062271927243	83	0.0108	0.153774380794393	G alpha (12/13) signalling events	587
780	87	18.3105383300372	87	0.011	0.154370405526155	Collagen formation	309
1498	16	9.75010753629108	16	0.0111	0.154370405526155	Regulation of KIT signaling	1345
1629	69	15.6895093424583	69	0.0114	0.156298455226624	Signaling by NOTCH1	1542
1150	91	18.0984281391939	91	0.0115	0.156298455226624	L1CAM interactions	867
901	15	10.0279709411726	15	0.0117	0.156403002688315	ERBB2 Regulates Cell Motility	501
340	20	10.7832901948193	20	0.0118	0.156403002688315	Proximal tubule bicarbonate reclamation	1277
748	120	18.0055930991822	120	0.0119	0.156403002688315	Cell-Cell communication	249
163	59	14.7109085044073	59	0.0122	0.156500876907769	Colorectal cancer	311
247	102	15.413522100295	102	0.0123	0.156500876907769	Insulin resistance	808
257	56	15.399818263676	56	0.0123	0.156500876907769	Long-term depression	888
463	52	14.1303701675311	52	0.0128	0.158656107168818	Endothelins	475
724	15	9.38689561492249	15	0.0128	0.158656107168818	CRMPs in Sema3A signaling	338
1637	360	-3.96986061208989	360	0.0129	0.158656107168818	Signaling by PDGF	1550
1392	99	16.5758119150651	99	0.013	0.158656107168818	Potassium Channels	1236
524	46	13.1457221200717	46	0.0135	0.163094040236478	Regulation of Androgen receptor activity	1325
1703	16	9.95058068946233	16	0.0142	0.166114300240857	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	1714
264	244	7.41270786961473	244	0.0147	0.166114300240857	MAPK signaling pathway	911
295	48	13.4053485835813	48	0.0148	0.166114300240857	Notch signaling pathway (KEGG)	1077
450	39	12.8947290034561	39	0.0148	0.166114300240857	Class I PI3K signaling events	297
1130	172	10.9044468272788	172	0.0149	0.166114300240857	Intra-Golgi and retrograde Golgi-to-ER traffic	835
577	31	11.9741000392089	31	0.015	0.166114300240857	a6b1 and a6b4 Integrin signaling	6
1067	11	9.30677711423535	11	0.015	0.166114300240857	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	727
1398	12	9.90418159090183	12	0.015	0.166114300240857	Presynaptic nicotinic acetylcholine receptors	1247
1705	22	10.6736986409829	22	0.015	0.166114300240857	TNFR1-induced NFkappaB signaling pathway	1717
1280	135	16.5954452734748	135	0.0153	0.167443214642784	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell	1047
306	148	15.6378748337152	148	0.0154	0.167443214642784	Oxytocin signaling pathway	1126
1482	22	10.146930912762	22	0.0157	0.168912014771229	Recycling pathway of L1	1316
410	54	17.982307158015	54	0.016	0.168912014771229	Viral myocarditis	1846
139	141	14.0573154986778	141	0.0161	0.168912014771229	Breast cancer	196
1814	619	-35.6362693553409	619	0.0161	0.168912014771229	Vesicle-mediated transport	1840
459	31	11.5250651230323	31	0.0166	0.172643314476411	EPHA forward signaling	482
1697	43	13.2563945011244	43	0.0169	0.17424817287334	TBC/RABGAPs	1676
851	108	16.3950816906321	108	0.0174	0.177376286697864	Degradation of the extracellular matrix	391
750	14	8.30137758335812	14	0.0175	0.177376286697864	Cell-extracellular matrix interactions	251
1285	22	9.86514087785688	22	0.0179	0.179905974916316	Nitric oxide stimulates guanylate cyclase	1061
1236	194	11.6354192932645	194	0.0185	0.180816069805481	Muscle contraction	1005
735	135	14.6224198631761	135	0.0187	0.180816069805481	Cardiac conduction	220
1836	18	9.24543552072114	18	0.0188	0.180816069805481	cGMP effects	261
64	13	8.6763925068019	12	0.0189	0.180816069805481	Chinkungunya Virus (ssRNA)	268
1393	46	12.9809801039333	46	0.0189	0.180816069805481	Pre-NOTCH Expression and Processing	1241
1788	11	9.03348796843697	11	0.0189	0.180816069805481	Transport of organic anions	1782
116	135	11.2434150904292	135	0.0192	0.180816069805481	Apelin signaling pathway	116
1525	11	7.4780111611049	11	0.0192	0.180816069805481	Regulation of signaling by NODAL	1361
1189	581	-33.3990405412168	581	0.0195	0.181651607722032	Membrane Trafficking	926
359	144	17.5047658394375	144	0.0196	0.181651607722032	Ribosome	1415
900	13	8.23275840885704	13	0.0201	0.181651607722032	ERBB2 Activates PTK6 Signaling	500
551	21	9.44510601684199	21	0.0202	0.181651607722032	Signaling events mediated by the Hedgehog family	1572
862	30	11.2792438318784	30	0.0202	0.181651607722032	Disassembly of the destruction complex and recruitment of AXIN to the membrane	407
