setID	setName	setSource
1	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)	BIOCYC
3	3-phosphoinositide biosynthesis	BIOCYC
4	3-phosphoinositide degradation	BIOCYC
239	CDP-diacylglycerol biosynthesis	BIOCYC
358	D-myo-inositol (1,3,4)-trisphosphate biosynthesis	BIOCYC
359	D-myo-inositol (1,4,5)-trisphosphate biosynthesis	BIOCYC
360	D-myo-inositol (1,4,5)-trisphosphate degradation	BIOCYC
361	D-myo-inositol-5-phosphate metabolism	BIOCYC
1020	NAD de novo biosynthesis	BIOCYC
1677	TCA cycle	BIOCYC
1823	UTP and CTP de novo biosynthesis	BIOCYC
56	adenosine deoxyribonucleotides de novo biosynthesis	BIOCYC
184	bile acid biosynthesis, neutral pathway	BIOCYC
271	cholesterol biosynthesis I	BIOCYC
272	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	BIOCYC
273	cholesterol biosynthesis III (via desmosterol)	BIOCYC
276	chondroitin sulfate biosynthesis	BIOCYC
397	dermatan sulfate biosynthesis	BIOCYC
523	fatty acid beta-oxidation	BIOCYC
524	fatty acid beta-oxidation (peroxisome)	BIOCYC
615	gamma-linolenate biosynthesis	BIOCYC
637	gluconeogenesis	BIOCYC
650	glutathione-mediated detoxification	BIOCYC
657	glycolysis	BIOCYC
691	guanosine deoxyribonucleotides de novo biosynthesis	BIOCYC
692	guanosine nucleotides de novo biosynthesis	BIOCYC
693	guanosine ribonucleotides de novo biosynthesis	BIOCYC
710	heparan sulfate biosynthesis	BIOCYC
711	heparan sulfate biosynthesis (late stages)	BIOCYC
853	isoleucine degradation	BIOCYC
875	leucine degradation	BIOCYC
924	melatonin degradation I	BIOCYC
956	mevalonate pathway	BIOCYC
1001	mucin core 1 and core 2 O-glycosylation	BIOCYC
1185	phospholipases	BIOCYC
1274	protein ubiquitylation	BIOCYC
1280	purine deoxyribonucleosides salvage	BIOCYC
1283	purine nucleotides de novo biosynthesis	BIOCYC
1284	purine nucleotides degradation	BIOCYC
1288	pyrimidine deoxyribonucleotide phosphorylation	BIOCYC
1289	pyrimidine deoxyribonucleotides biosynthesis from CTP	BIOCYC
1290	pyrimidine deoxyribonucleotides de novo biosynthesis	BIOCYC
1310	reactive oxygen species degradation	BIOCYC
1394	retinol biosynthesis	BIOCYC
1607	stearate biosynthesis	BIOCYC
1623	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism	BIOCYC
1621	superpathway of cholesterol biosynthesis	BIOCYC
1622	superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle	BIOCYC
1624	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	BIOCYC
1625	superpathway of inositol phosphate compounds	BIOCYC
1626	superpathway of melatonin degradation	BIOCYC
1627	superpathway of methionine degradation	BIOCYC
1628	superpathway of purine nucleotide salvage	BIOCYC
1629	superpathway of pyrimidine deoxyribonucleoside salvage	BIOCYC
1630	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	BIOCYC
1631	superpathway of pyrimidine ribonucleotides de novo biosynthesis	BIOCYC
1632	superpathway of steroid hormone biosynthesis	BIOCYC
1633	superpathway of tryptophan utilization	BIOCYC
1701	the visual cycle I (vertebrates)	BIOCYC
1788	triacylglycerol biosynthesis	BIOCYC
1790	triacylglycerol degradation	BIOCYC
1828	valine degradation	BIOCYC
57	Adenovirus (dsDNA)	Enard_Viral
268	Chinkungunya Virus (ssRNA)	Enard_Viral
392	Dengue Fever Virus (ssRNA)	Enard_Viral
456	Ebola Virus (ssRNA)	Enard_Viral
479	Enterovirus 71 (ssRNA)	Enard_Viral
492	Epstein-Barr Virus (dsDNA)	Enard_Viral
714	Hepatitis B virus (dsDNA)	Enard_Viral
715	Hepatitis B virus (dsDNART)	Enard_Viral
717	Hepatitis C Virus (dsDNA)	Enard_Viral
718	Hepatitis C Virus (ssRNA)	Enard_Viral
720	Herpes Simplex Virus (dsDNA)	Enard_Viral
750	Human Cytomegalovirus (dsDNA)	Enard_Viral
751	Human Immunodeficiency Virus type 1 (dsDNA)	Enard_Viral
752	Human Immunodeficiency Virus type 1 (ssRNA)	Enard_Viral
753	Human Immunodeficiency Virus type 1 (ssRNART)	Enard_Viral
755	Human T-lymphotropic virus (dsDNA)	Enard_Viral
756	Human T-lymphotropic virus (ssRNART)	Enard_Viral
754	Human papillomavirus (dsDNA)	Enard_Viral
792	Influenza virus (ssRNA)	Enard_Viral
855	JC Virus (dsDNA)	Enard_Viral
859	Kaposi's Sarcoma-associated Virus (dsDNA)	Enard_Viral
1003	Murine Gammaherpesvirus (dsDNA)	Enard_Viral
1004	Murine Leukemia Virus (ssRNART)	Enard_Viral
1228	Polyomavirus (dsDNA)	Enard_Viral
1473	SARS Coronavirus (ssRNA)	Enard_Viral
1581	Simian Virus 40 (dsDNA)	Enard_Viral
1582	Sindbis Virus (ssRNA)	Enard_Viral
1824	Vaccinia Virus (dsDNA)	Enard_Viral
1830	Varicella Zoster Virus (dsDNA)	Enard_Viral
2	2-Oxocarboxylic acid metabolism	KEGG
9	ABC transporters	KEGG
70	AGE-RAGE signaling pathway in diabetic complications	KEGG
94	AMPK signaling pathway	KEGG
47	Acute myeloid leukemia	KEGG
53	Acylglycerol degradation	KEGG
55	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	KEGG
60	Adherens junction	KEGG
62	Adipocytokine signaling pathway	KEGG
66	Adrenergic signaling in cardiomyocytes	KEGG
69	African trypanosomiasis	KEGG
72	Alanine, aspartate and glutamate metabolism	KEGG
73	Alcoholism	KEGG
74	Aldosterone synthesis and secretion	KEGG
75	Aldosterone-regulated sodium reabsorption	KEGG
78	Allograft rejection	KEGG
83	Alzheimer's disease	KEGG
