setID	setSize	setScore	N	setP	setQ	setName	setID.orig
777	64	45.1467375305503	64	1e-04	0.126075	Collagen biosynthesis and modifying enzymes	306
780	87	51.8093372430817	87	2e-04	0.126075	Collagen formation	309
778	44	34.3199887753492	44	3e-04	0.126075	Collagen chain trimerization	307
1318	18	19.9462539139089	18	3e-04	0.126075	Other semaphorin interactions	1119
924	282	88.1121836942247	282	0.0011	0.351481818181818	Extracellular matrix organization	516
360	85	67.2324856516599	85	0.0013	0.351481818181818	Ribosome biogenesis in eukaryotes	1416
359	144	66.5818038221128	144	0.0018	0.351481818181818	Ribosome	1415
677	57	33.6679249290859	57	0.0019	0.351481818181818	Assembly of collagen fibrils and other multimeric structures	137
1178	20	18.8751633042286	20	0.0021	0.351481818181818	MET activates PTK2 signaling	927
86	10	12.8473101560861	9	0.0022	0.351481818181818	Polyomavirus (dsDNA)	1228
293	12	13.0446459949497	12	0.0023	0.351481818181818	Non-homologous end-joining	1066
1154	25	20.5831801290784	25	0.0026	0.364216666666667	Laminin interactions	869
120	43	25.8417592187246	43	0.0046	0.593953333333333	Arginine and proline metabolism	131
998	422	102.381264422941	422	0.0053	0.593953333333333	GPCR ligand binding	682
1275	10	10.7689243997134	10	0.0053	0.593953333333333	Netrin mediated repulsion signals	1041
146	130	50.2116202032322	130	0.0063	0.601621052631579	Cell adhesion molecules (CAMs)	241
526	37	20.5383323752991	37	0.0065	0.601621052631579	Regulation of RAC1 activity	1356
1546	128	42.9097202622795	128	0.0066	0.601621052631579	Rho GTPase cycle	1402
560	31	18.9584379733324	31	0.0068	0.601621052631579	Syndecan-4-mediated signaling events	1641
174	80	33.6199222204948	80	0.0078	0.65559	ECM-receptor interaction	458
111	91	36.5371469312167	91	0.0084	0.6724	Amoebiasis	92
771	39	34.141126877645	39	0.0088	0.6724	Class C/3 (Metabotropic glutamate/pheromone receptors)	295
477	26	16.0247469653079	26	0.0105	0.700416666666667	Glypican 1 network	676
366	61	26.8262321773095	61	0.0112	0.700416666666667	Shigellosis	1499
577	31	18.1405300323103	31	0.0113	0.700416666666667	a6b1 and a6b4 Integrin signaling	6
1181	31	18.1804731493513	31	0.0119	0.700416666666667	MET promotes cell motility	930
1257	54	23.8588921080644	54	0.0128	0.700416666666667	NRAGE signals death through JNK	1084
406	117	40.0024005175349	117	0.0129	0.700416666666667	Vascular smooth muscle contraction	1831
1670	19	13.2760588993348	19	0.0129	0.700416666666667	Syndecan interactions	1637
1221	21	14.0188577406738	21	0.0134	0.700416666666667	Mitochondrial tRNA aminoacylation	975
1587	64	26.0895668384434	64	0.0136	0.700416666666667	Semaphorin interactions	1485
685	519	93.6989777364224	519	0.014	0.700416666666667	Axon guidance (REACTOME)	162
176	46	21.5742153663836	46	0.0144	0.700416666666667	Endocrine and other factor-regulated calcium reabsorption	468
336	84	31.9402853552237	84	0.0144	0.700416666666667	Protein digestion and absorption	1268
1572	14	11.151715386912	14	0.0148	0.700416666666667	STING mediated induction of host immune responses	1611
527	42	20.380309661837	42	0.015	0.700416666666667	Regulation of RhoA activity	1359
130	74	28.3730601741052	74	0.0166	0.742767441860465	Bacterial invasion of epithelial cells	165
1668	27	17.3253871533567	27	0.0168	0.742767441860465	Surfactant metabolism	1634
550	52	22.033220393864	52	0.0174	0.742767441860465	Signaling events mediated by focal adhesion kinase	1563
169	86	30.9273698150056	86	0.0184	0.742767441860465	Dilated cardiomyopathy	404
913	11	11.4817704350872	11	0.0186	0.742767441860465	Endosomal/Vacuolar pathway	474
413	25	19.5267699644105	25	0.0188	0.742767441860465	alpha-Linolenic acid metabolism	81
195	190	47.8094646374032	190	0.019	0.742767441860465	Focal adhesion	559
578	48	20.7206471883808	48	0.0224	0.807389393939394	amb2 Integrin signaling	84
243	96	31.667401068578	96	0.0239	0.807389393939394	Inflammatory mediator regulation of TRP channels	787
325	120	37.0341998858397	120	0.024	0.807389393939394	Platelet activation	1213
43	10	8.14594124050893	10	0.0243	0.807389393939394	reactive oxygen species degradation	1310
711	11	8.72974369201773	11	0.0245	0.807389393939394	CD28 dependent Vav1 pathway	232
1814	619	97.9969742198319	619	0.0248	0.807389393939394	Vesicle-mediated transport	1840
1287	43	19.4474619671339	43	0.0253	0.807389393939394	Non-integrin membrane-ECM interactions	1067
178	244	53.725650762125	244	0.0255	0.807389393939394	Endocytosis	470
1316	10	10.0600185737253	10	0.0258	0.807389393939394	Organic cation transport	1114
1260	18	13.2195695707594	18	0.0259	0.807389393939394	Na+/Cl- dependent neurotransmitter transporters	1019
945	19	11.6774717607785	19	0.0263	0.807389393939394	FRS-mediated FGFR3 signaling	583
1560	17	11.0902812852241	17	0.0267	0.807389393939394	SHC-mediated cascade:FGFR3	1494
973	234	58.8123956403584	234	0.0269	0.807389393939394	G alpha (i) signalling events	588
1376	13	9.65000276619415	13	0.0275	0.807389393939394	Platelet Adhesion to exposed collagen	1215
482	11	8.63175867933826	11	0.0279	0.807389393939394	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	761
1362	103	36.5540044362172	103	0.0293	0.807389393939394	Phase 1 - Functionalization of compounds	1173
478	64	22.8201049846898	64	0.0297	0.807389393939394	HIF-1-alpha transcription factor network	725
552	38	16.6470223004008	38	0.0297	0.807389393939394	Signaling events regulated by Ret tyrosine kinase	1574
1797	11	9.38428157418989	11	0.0305	0.807389393939394	Type I hemidesmosome assembly	1808
266	19	11.5108147764568	19	0.0308	0.807389393939394	Mannose type O-glycan biosynthesis	906
561	55	20.9592302567233	55	0.0313	0.807389393939394	TCR signaling in naive CD4+ T cells	1680
645	18	13.9871582075433	18	0.0315	0.807389393939394	Acyl chain remodelling of PG	50
995	19	11.7632825767236	19	0.0317	0.807389393939394	GABA synthesis, release, reuptake and degradation	610
646	17	13.7210076965532	17	0.0332	0.808649473684211	Acyl chain remodelling of PI	51
240	80	26.5154966619964	80	0.0339	0.808649473684211	Hypertrophic cardiomyopathy (HCM)	760
662	24	14.4058706382572	24	0.0346	0.808649473684211	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	102
310	93	30.5415990083829	93	0.0351	0.808649473684211	Pancreatic secretion	1143
904	13	9.08124161627451	13	0.0357	0.808649473684211	ERKs are inactivated	506
563	50	19.5817264495018	50	0.0358	0.808649473684211	TGF-beta receptor signaling	1689
1083	12	8.66448832997232	12	0.0362	0.808649473684211	IRF3-mediated induction of type I IFN	848
257	56	21.7172104291846	56	0.0364	0.808649473684211	Long-term depression	888
1640	39	16.7810414254884	39	0.0364	0.808649473684211	Signaling by Retinoic Acid	1553
872	13	9.18921911034136	13	0.0366	0.808649473684211	Dissolution of Fibrin Clot	417
1176	86	27.4318278521056	86	0.0371	0.808649473684211	MAPK6/MAPK4 signaling	915
231	90	31.4169559704078	90	0.0389	0.808649473684211	Hematopoietic cell lineage	707
414	30	14.8130047116139	30	0.0412	0.808649473684211	beta-Alanine metabolism	176
745	69	22.7618032890762	69	0.0412	0.808649473684211	Cell death signalling via NRAGE, NRIF and NADE	246
851	108	32.5809722879911	108	0.0412	0.808649473684211	Degradation of the extracellular matrix	391
890	55	20.4053040504855	55	0.0417	0.808649473684211	ECM proteoglycans	457
1434	34	15.3316752963368	34	0.0417	0.808649473684211	RHO GTPases Activate WASPs and WAVEs	1412
899	78	25.961031026206	78	0.0422	0.808649473684211	ER-Phagosome pathway	496
383	79	29.8143987150646	79	0.0423	0.808649473684211	Taste transduction	1672
256	29	17.4037025799685	29	0.0425	0.808649473684211	Linoleic acid metabolism	882
503	30	13.6846051369281	30	0.0434	0.808649473684211	Lissencephaly gene (LIS1) in neuronal migration and development	885
724	15	9.00247875236248	15	0.0445	0.808649473684211	CRMPs in Sema3A signaling	338
769	295	58.0754556772711	295	0.0451	0.808649473684211	Class A/1 (Rhodopsin-like receptors)	293
951	230	46.8938848682806	230	0.0451	0.808649473684211	Fatty acid, triacylglycerol, and ketone body metabolism	529
719	28	12.7567299388205	28	0.0452	0.808649473684211	COPI-independent Golgi-to-ER retrograde traffic	329
1359	178	43.8566112731341	178	0.0452	0.808649473684211	Peptide ligand-binding receptors	1166
1282	455	73.3639904616426	455	0.0453	0.808649473684211	Neutrophil degranulation	1051
119	61	23.8153835334772	61	0.0456	0.808649473684211	Arachidonic acid metabolism (KEGG)	125
1548	129	33.7665874907095	135	0.0457	0.808649473684211	Role of LAT2/NTAL/LAB on calcium mobilization*	1454
358	85	28.9669097554078	85	0.0467	0.817736458333333	Rheumatoid arthritis	1401
817	36	14.6750926292857	36	0.0498	0.838999107142857	DNA Damage Recognition in GG-NER	419
787	64	21.387992631696	64	0.0507	0.838999107142857	Constitutive Signaling by Aberrant PI3K in Cancer	318
1183	99	30.4471729151729	99	0.0508	0.838999107142857	MHC class II antigen presentation	957
410	54	22.3640550169364	54	0.0513	0.838999107142857	Viral myocarditis	1846
122	68	22.3101456260066	68	0.0517	0.838999107142857	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	134
698	41	16.5717502663954	41	0.0525	0.838999107142857	Binding and Uptake of Ligands by Scavenger Receptors	186
338	155	35.3332413872826	155	0.0527	0.838999107142857	Protein processing in endoplasmic reticulum	1272
1697	43	16.0991512098458	43	0.0541	0.838999107142857	TBC/RABGAPs	1676
313	54	18.4381025089992	54	0.0544	0.838999107142857	Pathogenic Escherichia coli infection	1148
507	55	18.2875121752433	55	0.0544	0.838999107142857	Neurotrophic factor-mediated Trk receptor signaling	1049
1089	10	6.96320467311504	10	0.0544	0.838999107142857	Import of palmitoyl-CoA into the mitochondrial matrix	780
1201	79	23.3052571007133	79	0.0545	0.838999107142857	Metabolism of polyamines	943
133	32	13.5477623335455	32	0.0547	0.838999107142857	Base excision repair	169
